Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: 2.133038	Val Loss: 2.231116	Val Acc: 32
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 2.047168	Val Loss: 2.205432	Val Acc: 32
Train Epoch: 4 [1280/49000 (3%)]	Train Loss: 2.175923	Val Loss: 2.201018	Val Acc: 31
Train Epoch: 4 [2560/49000 (5%)]	Train Loss: 1.890290	Val Loss: 2.200073	Val Acc: 30
Train Epoch: 4 [3840/49000 (8%)]	Train Loss: 2.045811	Val Loss: 2.196707	Val Acc: 30
Train Epoch: 4 [5120/49000 (10%)]	Train Loss: 1.972576	Val Loss: 2.204312	Val Acc: 31
Train Epoch: 4 [6400/49000 (13%)]	Train Loss: 2.199170	Val Loss: 2.171669	Val Acc: 32
Train Epoch: 4 [7680/49000 (16%)]	Train Loss: 2.336522	Val Loss: 2.186199	Val Acc: 28
Train Epoch: 4 [8960/49000 (18%)]	Train Loss: 2.080235	Val Loss: 2.199906	Val Acc: 31
Train Epoch: 4 [10240/49000 (21%)]	Train Loss: 2.201477	Val Loss: 2.042029	Val Acc: 34
Train Epoch: 4 [11520/49000 (23%)]	Train Loss: 2.043271	Val Loss: 2.236659	Val Acc: 30
Train Epoch: 4 [12800/49000 (26%)]	Train Loss: 2.058331	Val Loss: 2.162807	Val Acc: 32
Train Epoch: 4 [14080/49000 (29%)]	Train Loss: 1.909843	Val Loss: 2.103083	Val Acc: 32
Train Epoch: 4 [15360/49000 (31%)]	Train Loss: 2.362844	Val Loss: 2.229341	Val Acc: 29
Train Epoch: 4 [16640/49000 (34%)]	Train Loss: 2.080888	Val Loss: 2.173220	Val Acc: 33
Train Epoch: 4 [17920/49000 (37%)]	Train Loss: 2.066983	Val Loss: 2.163358	Val Acc: 32
Train Epoch: 4 [19200/49000 (39%)]	Train Loss: 2.143836	Val Loss: 2.069775	Val Acc: 33
Train Epoch: 4 [20480/49000 (42%)]	Train Loss: 2.150078	Val Loss: 2.137890	Val Acc: 29
Train Epoch: 4 [21760/49000 (44%)]	Train Loss: 1.861605	Val Loss: 2.141099	Val Acc: 31
Train Epoch: 4 [23040/49000 (47%)]	Train Loss: 2.040643	Val Loss: 2.121978	Val Acc: 32
Train Epoch: 4 [24320/49000 (50%)]	Train Loss: 2.115432	Val Loss: 2.136101	Val Acc: 31
Train Epoch: 4 [25600/49000 (52%)]	Train Loss: 2.077612	Val Loss: 2.160852	Val Acc: 33
Train Epoch: 4 [26880/49000 (55%)]	Train Loss: 2.175396	Val Loss: 2.185478	Val Acc: 30
Train Epoch: 4 [28160/49000 (57%)]	Train Loss: 2.030636	Val Loss: 2.192920	Val Acc: 28
Train Epoch: 4 [29440/49000 (60%)]	Train Loss: 1.866650	Val Loss: 2.131357	Val Acc: 31
Train Epoch: 4 [30720/49000 (63%)]	Train Loss: 1.889239	Val Loss: 2.144353	Val Acc: 32
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 2.039315	Val Loss: 2.127581	Val Acc: 31
Train Epoch: 4 [33280/49000 (68%)]	Train Loss: 2.205766	Val Loss: 2.171764	Val Acc: 30
Train Epoch: 4 [34560/49000 (70%)]	Train Loss: 1.954281	Val Loss: 2.123561	Val Acc: 31
Train Epoch: 4 [35840/49000 (73%)]	Train Loss: 1.946126	Val Loss: 2.145459	Val Acc: 32
Train Epoch: 4 [37120/49000 (76%)]	Train Loss: 2.001905	Val Loss: 2.151752	Val Acc: 30
Train Epoch: 4 [38400/49000 (78%)]	Train Loss: 2.013998	Val Loss: 2.066553	Val Acc: 32
Train Epoch: 4 [39680/49000 (81%)]	Train Loss: 1.932911	Val Loss: 2.101723	Val Acc: 31
Train Epoch: 4 [40960/49000 (84%)]	Train Loss: 2.273171	Val Loss: 2.163187	Val Acc: 29
Train Epoch: 4 [42240/49000 (86%)]	Train Loss: 1.995655	Val Loss: 2.083025	Val Acc: 31
Train Epoch: 4 [43520/49000 (89%)]	Train Loss: 1.853456	Val Loss: 2.148366	Val Acc: 32
Train Epoch: 4 [44800/49000 (91%)]	Train Loss: 1.968479	Val Loss: 2.145407	Val Acc: 31
Train Epoch: 4 [46080/49000 (94%)]	Train Loss: 1.786041	Val Loss: 2.118883	Val Acc: 31
Train Epoch: 4 [47360/49000 (97%)]	Train Loss: 2.079983	Val Loss: 2.052848	Val Acc: 32
Train Epoch: 4 [48640/49000 (99%)]	Train Loss: 1.975431	Val Loss: 2.154962	Val Acc: 30
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 2.267906	Val Loss: 2.130685	Val Acc: 32
Train Epoch: 5 [1280/49000 (3%)]	Train Loss: 2.127573	Val Loss: 2.177594	Val Acc: 32
Train Epoch: 5 [2560/49000 (5%)]	Train Loss: 2.121141	Val Loss: 2.085379	Val Acc: 31
Train Epoch: 5 [3840/49000 (8%)]	Train Loss: 1.936450	Val Loss: 2.097108	Val Acc: 33
Train Epoch: 5 [5120/49000 (10%)]	Train Loss: 2.111937	Val Loss: 2.170856	Val Acc: 30
Train Epoch: 5 [6400/49000 (13%)]	Train Loss: 2.079610	Val Loss: 2.110769	Val Acc: 31
Train Epoch: 5 [7680/49000 (16%)]	Train Loss: 1.984602	Val Loss: 2.104623	Val Acc: 34
Train Epoch: 5 [8960/49000 (18%)]	Train Loss: 2.066094	Val Loss: 2.099212	Val Acc: 32
Train Epoch: 5 [10240/49000 (21%)]	Train Loss: 1.934039	Val Loss: 2.114794	Val Acc: 33
Train Epoch: 5 [11520/49000 (23%)]	Train Loss: 2.030440	Val Loss: 2.027724	Val Acc: 35
Train Epoch: 5 [12800/49000 (26%)]	Train Loss: 2.145315	Val Loss: 2.150451	Val Acc: 30
Train Epoch: 5 [14080/49000 (29%)]	Train Loss: 2.001541	Val Loss: 2.045446	Val Acc: 33
Train Epoch: 5 [15360/49000 (31%)]	Train Loss: 1.939603	Val Loss: 2.050451	Val Acc: 32
Train Epoch: 5 [16640/49000 (34%)]	Train Loss: 2.099259	Val Loss: 2.070170	Val Acc: 30
Train Epoch: 5 [17920/49000 (37%)]	Train Loss: 2.095158	Val Loss: 2.063008	Val Acc: 34
Train Epoch: 5 [19200/49000 (39%)]	Train Loss: 2.016036	Val Loss: 2.129484	Val Acc: 30
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 1.910277	Val Loss: 2.025699	Val Acc: 35
Train Epoch: 5 [21760/49000 (44%)]	Train Loss: 2.013182	Val Loss: 2.136652	Val Acc: 30
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 2.010566	Val Loss: 2.100077	Val Acc: 33
Train Epoch: 5 [24320/49000 (50%)]	Train Loss: 1.763002	Val Loss: 2.102665	Val Acc: 32
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 2.005420	Val Loss: 2.094803	Val Acc: 32
Train Epoch: 5 [26880/49000 (55%)]	Train Loss: 1.879691	Val Loss: 2.073380	Val Acc: 34
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 1.877391	Val Loss: 2.160698	Val Acc: 30
Train Epoch: 5 [29440/49000 (60%)]	Train Loss: 2.169715	Val Loss: 2.034756	Val Acc: 33
Train Epoch: 5 [30720/49000 (63%)]	Train Loss: 2.079999	Val Loss: 2.060399	Val Acc: 34
Train Epoch: 5 [32000/49000 (65%)]	Train Loss: 2.023943	Val Loss: 2.111278	Val Acc: 32
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 1.804098	Val Loss: 2.081856	Val Acc: 31
Train Epoch: 5 [34560/49000 (70%)]	Train Loss: 1.759264	Val Loss: 2.079841	Val Acc: 32
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 2.159918	Val Loss: 2.090500	Val Acc: 31
Train Epoch: 5 [37120/49000 (76%)]	Train Loss: 2.005487	Val Loss: 2.074927	Val Acc: 30
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 2.136436	Val Loss: 2.061163	Val Acc: 30
Train Epoch: 5 [39680/49000 (81%)]	Train Loss: 2.014549	Val Loss: 2.125647	Val Acc: 29
Train Epoch: 5 [40960/49000 (84%)]	Train Loss: 2.169857	Val Loss: 2.084393	Val Acc: 30
Train Epoch: 5 [42240/49000 (86%)]	Train Loss: 1.932764	Val Loss: 2.123126	Val Acc: 32
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 1.901781	Val Loss: 2.121568	Val Acc: 28
Train Epoch: 5 [44800/49000 (91%)]	Train Loss: 1.899076	Val Loss: 2.067511	Val Acc: 34
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 1.923050	Val Loss: 1.998364	Val Acc: 33
Train Epoch: 5 [47360/49000 (97%)]	Train Loss: 1.985881	Val Loss: 2.071061	Val Acc: 33
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 1.945658	Val Loss: 2.069234	Val Acc: 32
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 2.022960	Val Loss: 2.029081	Val Acc: 33
Train Epoch: 6 [1280/49000 (3%)]	Train Loss: 2.016142	Val Loss: 2.036396	Val Acc: 34
Train Epoch: 6 [2560/49000 (5%)]	Train Loss: 1.908546	Val Loss: 2.041847	Val Acc: 33
Train Epoch: 6 [3840/49000 (8%)]	Train Loss: 2.133434	Val Loss: 2.022772	Val Acc: 31
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 1.920665	Val Loss: 2.040782	Val Acc: 33
Train Epoch: 6 [6400/49000 (13%)]	Train Loss: 2.059626	Val Loss: 2.104361	Val Acc: 30
Train Epoch: 6 [7680/49000 (16%)]	Train Loss: 2.019208	Val Loss: 1.997982	Val Acc: 32
Train Epoch: 6 [8960/49000 (18%)]	Train Loss: 1.870706	Val Loss: 2.032086	Val Acc: 33
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 1.859992	Val Loss: 1.996347	Val Acc: 32
Train Epoch: 6 [11520/49000 (23%)]	Train Loss: 2.037532	Val Loss: 2.037637	Val Acc: 32
Train Epoch: 6 [12800/49000 (26%)]	Train Loss: 1.757250	Val Loss: 2.048850	Val Acc: 33
Train Epoch: 6 [14080/49000 (29%)]	Train Loss: 1.964317	Val Loss: 2.056751	Val Acc: 31
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 1.944407	Val Loss: 2.049851	Val Acc: 31
Train Epoch: 6 [16640/49000 (34%)]	Train Loss: 1.811615	Val Loss: 2.048588	Val Acc: 33
Train Epoch: 6 [17920/49000 (37%)]	Train Loss: 1.681310	Val Loss: 2.037314	Val Acc: 33
Train Epoch: 6 [19200/49000 (39%)]	Train Loss: 1.933018	Val Loss: 2.084737	Val Acc: 29
Train Epoch: 6 [20480/49000 (42%)]	Train Loss: 1.879924	Val Loss: 1.999553	Val Acc: 32
Train Epoch: 6 [21760/49000 (44%)]	Train Loss: 1.840779	Val Loss: 2.074581	Val Acc: 31
Train Epoch: 6 [23040/49000 (47%)]	Train Loss: 2.031889	Val Loss: 1.983732	Val Acc: 34
Train Epoch: 6 [24320/49000 (50%)]	Train Loss: 1.914570	Val Loss: 2.015918	Val Acc: 33
Train Epoch: 6 [25600/49000 (52%)]	Train Loss: 1.886927	Val Loss: 2.024502	Val Acc: 33
Train Epoch: 6 [26880/49000 (55%)]	Train Loss: 1.894641	Val Loss: 2.052522	Val Acc: 33
Train Epoch: 6 [28160/49000 (57%)]	Train Loss: 2.023407	Val Loss: 2.004460	Val Acc: 34
Train Epoch: 6 [29440/49000 (60%)]	Train Loss: 1.896398	Val Loss: 2.022135	Val Acc: 32
