Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 1.595032	Val Loss: 1.629935	Val Acc: 43
Train Epoch: 2 [19840/49000 (40%)]	Train Loss: 1.706889	Val Loss: 1.646304	Val Acc: 44
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.607964	Val Loss: 1.603688	Val Acc: 46
Train Epoch: 2 [21120/49000 (43%)]	Train Loss: 1.765399	Val Loss: 1.675390	Val Acc: 40
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 1.637446	Val Loss: 1.667438	Val Acc: 43
Train Epoch: 2 [22400/49000 (46%)]	Train Loss: 1.608359	Val Loss: 1.584942	Val Acc: 47
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 1.643024	Val Loss: 1.650352	Val Acc: 43
Train Epoch: 2 [23680/49000 (48%)]	Train Loss: 1.432740	Val Loss: 1.603267	Val Acc: 44
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 1.727950	Val Loss: 1.536682	Val Acc: 51
Train Epoch: 2 [24960/49000 (51%)]	Train Loss: 1.773575	Val Loss: 1.623825	Val Acc: 42
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 1.636355	Val Loss: 1.688136	Val Acc: 42
Train Epoch: 2 [26240/49000 (54%)]	Train Loss: 1.507458	Val Loss: 1.620484	Val Acc: 46
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 1.578469	Val Loss: 1.647224	Val Acc: 44
Train Epoch: 2 [27520/49000 (56%)]	Train Loss: 1.648160	Val Loss: 1.605488	Val Acc: 47
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 1.725627	Val Loss: 1.626264	Val Acc: 44
Train Epoch: 2 [28800/49000 (59%)]	Train Loss: 1.656128	Val Loss: 1.709705	Val Acc: 45
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 1.589174	Val Loss: 1.656562	Val Acc: 45
Train Epoch: 2 [30080/49000 (61%)]	Train Loss: 1.599932	Val Loss: 1.649794	Val Acc: 45
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 1.572111	Val Loss: 1.549851	Val Acc: 49
Train Epoch: 2 [31360/49000 (64%)]	Train Loss: 1.722091	Val Loss: 1.665614	Val Acc: 43
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.639075	Val Loss: 1.622457	Val Acc: 44
Train Epoch: 2 [32640/49000 (67%)]	Train Loss: 1.755941	Val Loss: 1.634089	Val Acc: 46
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 1.573739	Val Loss: 1.683466	Val Acc: 40
Train Epoch: 2 [33920/49000 (69%)]	Train Loss: 1.576100	Val Loss: 1.587503	Val Acc: 46
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 1.795193	Val Loss: 1.579154	Val Acc: 45
Train Epoch: 2 [35200/49000 (72%)]	Train Loss: 1.539274	Val Loss: 1.618419	Val Acc: 45
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.584369	Val Loss: 1.691289	Val Acc: 42
Train Epoch: 2 [36480/49000 (74%)]	Train Loss: 1.581255	Val Loss: 1.677964	Val Acc: 44
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 1.714816	Val Loss: 1.699928	Val Acc: 42
Train Epoch: 2 [37760/49000 (77%)]	Train Loss: 1.599458	Val Loss: 1.570681	Val Acc: 46
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 1.670398	Val Loss: 1.667505	Val Acc: 43
Train Epoch: 2 [39040/49000 (80%)]	Train Loss: 1.570511	Val Loss: 1.695221	Val Acc: 43
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 1.655763	Val Loss: 1.590951	Val Acc: 46
